Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.9695152044296265	0.59375	1.5544867515563965	0.5625
2	0.9102612733840942	0.59375	1.424116611480713	0.625
3	1.203467845916748	0.53125	1.8930174112319946	0.59375
4	0.7309501767158508	0.6875	1.7350319623947144	0.59375
5	0.6756018400192261	0.8125	1.701981782913208	0.59375
6	0.9510300159454346	0.65625	1.6256511211395264	0.625
7	0.6808946132659912	0.6875	1.5225107669830322	0.625
8	0.6099702715873718	0.78125	1.5204651355743408	0.625
9	0.666278600692749	0.75	1.5366801023483276	0.65625
10	0.7316991686820984	0.6875	1.705996036529541	0.625
11	0.4739089012145996	0.875	1.7630348205566406	0.625
12	0.8206367492675781	0.71875	1.6200052499771118	0.625
13	0.8758096694946289	0.65625	1.633658766746521	0.6875
14	0.7981730699539185	0.65625	1.7231838703155518	0.59375
15	1.1083476543426514	0.59375	1.665738582611084	0.59375
16	0.8613955974578857	0.65625	1.8886847496032715	0.59375
17	0.3593742251396179	0.875	1.8550535440444946	0.59375
18	0.8489441871643066	0.71875	1.735263705253601	0.625
19	0.8416311740875244	0.65625	1.581094741821289	0.65625
20	0.8241365551948547	0.65625	1.6504360437393188	0.59375
21	0.6486477851867676	0.6875	1.6273839473724365	0.6875
22	1.146034836769104	0.5625	1.668640375137329	0.6875
23	0.7795369625091553	0.625	1.732926845550537	0.625
24	0.5401163697242737	0.84375	1.678473949432373	0.625
25	0.7393171787261963	0.71875	1.7184605598449707	0.625
26	0.700847327709198	0.75	1.9012209177017212	0.65625
27	0.9045300483703613	0.59375	1.5708881616592407	0.65625
28	0.6994627714157104	0.78125	1.9854681491851807	0.5625
29	0.5518860816955566	0.75	1.6061395406723022	0.65625
30	0.5684264898300171	0.90625	1.7036945819854736	0.625
31	0.8344099521636963	0.71875	1.839513897895813	0.625
32	0.7578694820404053	0.6875	2.070300579071045	0.53125
33	0.824238657951355	0.625	1.7241376638412476	0.59375
34	0.7025430798530579	0.75	1.8020702600479126	0.59375
35	0.6973488330841064	0.6875	1.8450374603271484	0.625
36	0.8220678567886353	0.6875	1.4895682334899902	0.625
37	0.8361028432846069	0.65625	1.5978456735610962	0.625
38	0.8420634865760803	0.65625	1.6063824892044067	0.625
39	0.5355989336967468	0.78125	1.666582703590393	0.625
40	0.7230871915817261	0.6875	1.6735070943832397	0.625
41	0.632902979850769	0.71875	1.825608253479004	0.625
42	0.5892294645309448	0.78125	2.010643720626831	0.53125
43	0.4950043559074402	0.78125	1.9426212310791016	0.59375
44	0.6314558982849121	0.75	1.7060120105743408	0.5625
45	0.6257070302963257	0.6875	1.642410397529602	0.625
46	0.21037785708904266	0.875	1.7611716985702515	0.59375
47	0.5939199328422546	0.75	1.6352263689041138	0.65625
48	0.7989416122436523	0.65625	2.0961685180664062	0.59375
49	0.5859118700027466	0.78125	1.6348680257797241	0.65625
50	0.8619042634963989	0.625	1.7171993255615234	0.59375
51	0.6658856868743896	0.6875	1.600102186203003	0.5625
52	0.738244354724884	0.65625	1.669774055480957	0.5625
53	0.6655565500259399	0.75	1.6058050394058228	0.59375
54	0.48201021552085876	0.78125	1.6459585428237915	0.6875
55	0.5145395398139954	0.78125	1.7142953872680664	0.6875
56	0.7483255863189697	0.65625	1.9872339963912964	0.53125
57	0.520084798336029	0.75	1.669258952140808	0.53125
58	0.6171948909759521	0.78125	1.5210704803466797	0.65625
59	0.6074023246765137	0.78125	1.5289769172668457	0.59375
60	0.6772478222846985	0.75	1.5894850492477417	0.59375
61	0.6043620109558105	0.8125	1.6904164552688599	0.5625
62	0.643945574760437	0.78125	1.7036468982696533	0.5625
63	0.7251477837562561	0.71875	1.7958006858825684	0.5625
64	0.7452433109283447	0.6875	1.8544690608978271	0.5625
65	0.6326187252998352	0.8125	1.7265093326568604	0.59375
66	0.24647344648838043	0.9375	1.959303855895996	0.625
67	0.8254989981651306	0.6875	1.6349198818206787	0.625
68	0.7109450697898865	0.6875	1.7543178796768188	0.5625
69	0.7183116674423218	0.71875	1.8829545974731445	0.5625
70	0.25225967168807983	0.875	1.7193007469177246	0.59375
71	0.3845505118370056	0.8125	1.7569736242294312	0.59375
72	0.4804365038871765	0.90625	1.716912031173706	0.625
73	0.41949012875556946	0.84375	1.791135549545288	0.65625
74	0.6862860321998596	0.6875	1.6170964241027832	0.65625
75	0.6894209980964661	0.65625	1.569913625717163	0.625
76	0.7397388219833374	0.59375	2.0617895126342773	0.53125
77	0.8073043823242188	0.71875	1.8955484628677368	0.625
78	0.6185474991798401	0.75	1.986512303352356	0.59375
79	0.7091101408004761	0.75	1.4414293766021729	0.59375
80	0.7118953466415405	0.75	1.6936426162719727	0.59375
81	0.8009415864944458	0.71875	1.544814944267273	0.5625
82	0.6498052477836609	0.75	1.838590145111084	0.53125
83	0.7279385924339294	0.71875	1.9174729585647583	0.53125
84	0.2683551013469696	0.90625	1.7038111686706543	0.59375
85	0.6336649656295776	0.84375	1.6553620100021362	0.53125
86	0.39243820309638977	0.875	1.534057855606079	0.59375
87	0.6397626399993896	0.6875	1.6092581748962402	0.59375
88	0.6517743468284607	0.75	1.6745538711547852	0.625
89	0.7414977550506592	0.78125	1.6437416076660156	0.59375
90	0.5639309883117676	0.78125	1.7042465209960938	0.59375
91	0.40209048986434937	0.8125	1.8860803842544556	0.5625
