Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.015098871663212776	1.0	1.909908413887024	0.6875
2	0.31019601225852966	0.9375	1.8553988933563232	0.6875
3	0.03566965460777283	1.0	1.7934035062789917	0.71875
4	0.16455942392349243	0.90625	1.7228655815124512	0.71875
5	0.034571100026369095	1.0	1.6613829135894775	0.75
6	0.125926211476326	0.9375	1.5792241096496582	0.71875
7	0.01230638474225998	1.0	1.515995740890503	0.75
8	0.018904486671090126	1.0	1.450698971748352	0.75
9	0.012478248216211796	1.0	1.4031707048416138	0.75
10	0.03245445713400841	1.0	1.3816523551940918	0.78125
11	0.018701553344726562	1.0	1.3688071966171265	0.78125
12	0.03829120099544525	1.0	1.3581784963607788	0.78125
13	0.16055992245674133	0.96875	1.3598711490631104	0.78125
14	0.017570503056049347	1.0	1.3677074909210205	0.78125
15	0.03301575779914856	1.0	1.376478910446167	0.78125
16	0.08099233359098434	0.96875	1.3882973194122314	0.78125
17	0.15249274671077728	0.9375	1.4108935594558716	0.78125
18	0.07576136291027069	0.96875	1.4524815082550049	0.8125
19	0.014568477869033813	1.0	1.4915478229522705	0.8125
20	0.03000102937221527	1.0	1.538495421409607	0.8125
21	0.006987718865275383	1.0	1.5920807123184204	0.78125
22	0.0264631025493145	1.0	1.641520380973816	0.78125
23	0.035030629485845566	1.0	1.6721878051757812	0.75
24	0.0744100958108902	0.96875	1.6685181856155396	0.75
25	0.028056491166353226	1.0	1.660192608833313	0.78125
26	0.009692857041954994	1.0	1.6593354940414429	0.78125
27	0.026138197630643845	1.0	1.6659971475601196	0.78125
28	0.014862277545034885	1.0	1.6727879047393799	0.8125
29	0.017784956842660904	1.0	1.6763577461242676	0.8125
30	0.023224128410220146	1.0	1.6812409162521362	0.78125
31	0.0019671558402478695	1.0	1.6874994039535522	0.75
32	0.003031732514500618	1.0	1.693251132965088	0.75
33	0.014512777328491211	1.0	1.6943362951278687	0.75
34	0.032926417887210846	1.0	1.6855252981185913	0.71875
35	0.004447214305400848	1.0	1.6787718534469604	0.71875
36	0.020492512732744217	1.0	1.6671463251113892	0.71875
37	0.01672542281448841	1.0	1.6588002443313599	0.71875
38	0.007863345555961132	1.0	1.6537299156188965	0.71875
39	0.047104813158512115	0.96875	1.6505134105682373	0.71875
40	0.0052359383553266525	1.0	1.6474220752716064	0.78125
41	0.01714138314127922	1.0	1.6491053104400635	0.78125
42	0.03700845688581467	0.96875	1.650665283203125	0.78125
43	0.007010588422417641	1.0	1.65463125705719	0.6875
44	0.018664907664060593	1.0	1.66196608543396	0.6875
45	0.03580262511968613	1.0	1.6738929748535156	0.6875
46	0.0010887710377573967	1.0	1.6849145889282227	0.6875
47	0.0019573653116822243	1.0	1.6959513425827026	0.6875
48	0.0011282111518085003	1.0	1.7073445320129395	0.6875
49	0.03657729923725128	1.0	1.719145655632019	0.6875
50	0.0017375261522829533	1.0	1.7301852703094482	0.6875
