Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.055465131998062134	0.96875	1.520599126815796	0.5625
2	0.08162973076105118	0.96875	1.4853451251983643	0.625
3	0.11632207781076431	0.9375	1.4664502143859863	0.625
4	0.015839863568544388	1.0	1.456693410873413	0.59375
5	0.05209658294916153	1.0	1.4556913375854492	0.59375
6	0.06446593999862671	1.0	1.4490898847579956	0.625
7	0.03986439108848572	0.96875	1.455904483795166	0.65625
8	0.03416147083044052	1.0	1.4649991989135742	0.65625
9	0.09625253826379776	0.96875	1.4938747882843018	0.65625
10	0.012926858849823475	1.0	1.5319252014160156	0.65625
11	0.022735126316547394	1.0	1.5802050828933716	0.625
12	0.02982477843761444	1.0	1.640213966369629	0.59375
13	0.028708789497613907	1.0	1.7005070447921753	0.5625
14	0.041370224207639694	1.0	1.7422621250152588	0.5625
15	0.023653544485569	1.0	1.7702751159667969	0.5625
16	0.035432007163763046	1.0	1.8038135766983032	0.5625
17	0.005122346803545952	1.0	1.8374840021133423	0.5625
18	0.016280092298984528	1.0	1.8715169429779053	0.5625
19	0.023218214511871338	1.0	1.9047212600708008	0.5625
20	0.012727024033665657	1.0	1.9314815998077393	0.5
21	0.00432707741856575	1.0	1.9581851959228516	0.5
22	0.04554525017738342	0.96875	1.9921914339065552	0.5
23	0.014608955010771751	1.0	2.0135529041290283	0.5
24	0.0716998428106308	0.96875	1.980431079864502	0.46875
25	0.013107182458043098	1.0	1.9540199041366577	0.5
26	0.0063515049405395985	1.0	1.9346539974212646	0.5
27	0.017276041209697723	1.0	1.9044831991195679	0.5
28	0.010695669800043106	1.0	1.8785597085952759	0.5
29	0.010457679629325867	1.0	1.8640666007995605	0.5
30	0.004718167707324028	1.0	1.8531160354614258	0.53125
