Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.10342001914978027	0.96875	0.8080397844314575	0.75
2	0.08968132734298706	0.96875	0.8346085548400879	0.75
3	0.16490934789180756	0.9375	0.8781527280807495	0.75
4	0.04618139564990997	1.0	0.9281611442565918	0.65625
5	0.00903218612074852	1.0	0.9842343330383301	0.65625
6	0.02955704741179943	1.0	1.0479187965393066	0.6875
7	0.09991730749607086	0.96875	1.0570765733718872	0.6875
8	0.06918367743492126	0.96875	1.0375757217407227	0.6875
9	0.02980615571141243	1.0	1.01698637008667	0.625
10	0.07437963783740997	0.96875	0.9630758762359619	0.71875
11	0.013510624878108501	1.0	0.9122786521911621	0.71875
12	0.02367115207016468	1.0	0.8673696517944336	0.71875
13	0.03995167091488838	1.0	0.8342660665512085	0.78125
14	0.021490760147571564	1.0	0.8075292110443115	0.78125
15	0.059881605207920074	0.96875	0.7839891314506531	0.78125
16	0.006839986890554428	1.0	0.764102578163147	0.8125
17	0.0677843689918518	0.96875	0.7363033294677734	0.8125
18	0.020523179322481155	1.0	0.7051018476486206	0.84375
19	0.010330023244023323	1.0	0.6769635677337646	0.84375
20	0.017128003761172295	1.0	0.6510669589042664	0.8125
21	0.015448837541043758	1.0	0.6288031339645386	0.84375
22	0.00883004441857338	1.0	0.6115931868553162	0.84375
23	0.01643618941307068	1.0	0.5981254577636719	0.8125
24	0.01060156524181366	1.0	0.5937387943267822	0.8125
25	0.005774814169853926	1.0	0.5939686298370361	0.8125
26	0.008491689339280128	1.0	0.5971140265464783	0.8125
27	0.002451195614412427	1.0	0.6024641990661621	0.8125
28	0.01243412122130394	1.0	0.6117222905158997	0.8125
29	0.01753268763422966	1.0	0.6192609667778015	0.8125
30	0.04530348628759384	1.0	0.6257442831993103	0.8125
31	0.008023329079151154	1.0	0.6333958506584167	0.8125
